105	* Turkish and Azerbaijani use 0130 for uppercase|x (latin small letter dotless i - 0131)|x (superscript latin small letter i - 2071)|x (mathematical italic small dotless i - 1D6A4)
106	x (latin small letter dotless j - 0237)|x (greek letter yot - 03F3)|x (mathematical italic small dotless j - 1D6A5)
108	x (script small l - 2113)|x (mathematical script small l - 1D4C1)
110	x (superscript latin small letter n - 207F)
111	x (latin letter small capital o - 1D0F)|x (script small o - 2134)|x (latin small letter blackletter o - AB3D)
113	x (cyrillic small letter qa - 051B)
115	x (latin small letter long s - 017F)|x (latin letter small capital s - A731)
119	x (cyrillic small letter we - 051D)|x (latin letter small capital w - 1D21)
120	x (multiplication sign - 00D7)
122	x (latin small letter z with stroke - 01B6)|x (latin letter small capital z - 1D22)
123	= opening curly bracket (1.0)|= left brace
124	= vertical bar, pipe|* used in pairs to indicate absolute value|* also used as an unpaired separator or as a fence|x (broken bar - 00A6)|x (latin letter dental click - 01C0)|x (hebrew punctuation paseq - 05C0)|x (devanagari danda - 0964)|x (combining long vertical line overlay - 20D2)|x (divides - 2223)|x (light vertical bar - 2758)
125	= closing curly bracket (1.0)|= right brace
126	* this is a spacing character|x (small tilde - 02DC)|x (combining tilde - 0303)|x (combining tilde overlay - 0334)|x (swung dash - 2053)|x (tilde operator - 223C)|x (tilde with ring above - 2E1B)|x (vertical tilde - 2E2F)|x (wave dash - 301C)|x (fullwidth tilde - FF5E)
127	= DELETE
130	= BREAK PERMITTED HERE|x (zero width space - 200B)
131	= NO BREAK HERE|x (word joiner - 2060)
132	* formerly known as INDEX
133	= NEXT LINE (NEL)
134	= START OF SELECTED AREA
135	= END OF SELECTED AREA
136	= CHARACTER TABULATION SET
137	= CHARACTER TABULATION WITH JUSTIFICATION
138	= LINE TABULATION SET
139	= PARTIAL LINE FORWARD
140	= PARTIAL LINE BACKWARD
141	= REVERSE LINE FEED
142	= SINGLE SHIFT TWO
143	= SINGLE SHIFT THREE
144	= DEVICE CONTROL STRING
145	= PRIVATE USE ONE
146	= PRIVATE USE TWO
147	= SET TRANSMIT STATE
148	= CANCEL CHARACTER
149	= MESSAGE WAITING
150	= START OF GUARDED AREA
151	= END OF GUARDED AREA
152	= START OF STRING
154	= SINGLE CHARACTER INTRODUCER
155	= CONTROL SEQUENCE INTRODUCER
156	= STRING TERMINATOR
157	= OPERATING SYSTEM COMMAND
158	= PRIVACY MESSAGE
159	= APPLICATION PROGRAM COMMAND
160	* commonly abbreviated as NBSP|* should be the same width as the space 0020|x (space - 0020)|x (figure space - 2007)|x (narrow no-break space - 202F)|x (word joiner - 2060)|x (shouldered open box - 237D)|x (zero width no-break space - FEFF)|# <noBreak> 0020
161	* Spanish, Asturian, Galician|* used in extended IPA to represent sublaminal lower alveolar percussive|x (exclamation mark - 0021)|x (modifier letter raised inverted exclamation mark - A71E)
162	x (latin small letter c with stroke - 023C)|x (mill sign - 20A5)|x (cedi sign - 20B5)|x (musical symbol cut time - 1D135)
163	= pound sterling, Irish punt, lira, etc.|* not to be confused with the unit of weight|* glyph may have one or two crossbars, in distinction from 20A4|x (lira sign - 20A4)|x (turkish lira sign - 20BA)|x (roman semuncia sign - 10192)
164	* generic or unknown currency|* other currency symbol characters start at 20A0|x (dollar sign - 0024)
165	= yuan sign (renminbi)|* glyph may have one or two crossbars, but the official symbol in Japan and China has two|* in native context, specific ideographs may be used for units of these currencies|x (latin capital letter y with stroke - 024E)|x (cyrillic capital letter straight u with stroke - 04B0)|x 5143|x 5186
166	= broken vertical bar (1.0)|= parted rule (in typography)|x (vertical line - 007C)
167	* used in referencing numbered sections or paragraphs|x (top half section sign - 2E39)
168	* this is a spacing character|x (combining diaeresis - 0308)|# 0020 0308
169	x (sound recording copyright - 2117)|x (circled latin capital letter c - 24B8)|x (copyleft symbol - 1F12F)|x (mask work symbol - 1F1AD)
170	* Spanish|x (modifier letter small a - 1D43)|# <super> 0061
171	= left guillemet|= chevrons (in typography)|* usually opening, sometimes closing|x (much less-than - 226A)|x (left double angle bracket - 300A)
172	= angled dash (in typography)|x (reversed not sign - 2310)|x (turned not sign - 2319)
173	= discretionary hyphen|* commonly abbreviated as SHY|* an invisible format character indicating a possible hyphenation location
174	= registered trade mark sign (1.0)|x (trade mark sign - 2122)|x (circled latin capital letter r - 24C7)|x (raised md sign - 1F16B)|x (raised mr sign - 1F16C)
175	= overline, APL overbar|* this is a spacing character|* unlike 203E, adjacent instances of this character do not join|x (modifier letter macron - 02C9)|x (combining macron - 0304)|x (combining overline - 0305)|x (overline - 203E)|x (combining conjoining macron - FE26)|# 0020 0304
176	* this is a spacing character|x (ring above - 02DA)|x (combining ring above - 030A)|x (superscript zero - 2070)|x (degree celsius - 2103)|x (degree fahrenheit - 2109)|x (ring operator - 2218)
177	= biquintile (astrological aspect: 144°)|x (minus-or-plus sign - 2213)|x (division times - 22C7)
178	= squared|* other superscript digit characters: 2070-2079|x (superscript one - 00B9)|# <super> 0032
179	= cubed|x (superscript one - 00B9)|# <super> 0033
180	* this is a spacing character|x (grave accent - 0060)|x (modifier letter prime - 02B9)|x (modifier letter acute accent - 02CA)|x (double acute accent - 02DD)|x (combining acute accent - 0301)|x (greek tonos - 0384)|x (greek oxia - 1FFD)|x (prime - 2032)|# 0020 0301
181	# 03BC greek small letter mu
