airfare	3	4
airfield	4	5
airflow	5	6
airforce	6	6
airframe	4	4
airfreight	4	6
airhead	2	3
airily	5	5
airiness	5	1
airless	1	1
airlift	4	4
airline	5	3
airliner	5	5
airlock	3	4
airmail	6	6
airman	4	5
airmanship	7	6
airplane	5	5
airplay	6	6
airport	5	5
airpower	6	7
airproof	6	1
airs	4	1
airshaft	3	3
airship	4	3
airshow	6	7
airsick	1	6
airsickness	0	6
airspace	4	4
airspeed	4	5
airstream	5	6
airstrike	1	7
airstrip	4	5
airtight	3	3
airtime	6	6
airwave	4	5
airway	4	4
airwoman	6	6
airworthiness	6	1
airworthy	7	4
airy	6	4
aisle	3	2
ait	3	3
ajar	3	3
aka	3	3
akimbo	4	6
akin	4	2
alabaster	4	3
alacrity	6	7
alamo	2	4
alarm	2	6
alarmclock	3	7
alarmed	1	6
alarming	1	6
alarmism	1	7
alarmist	1	7
alas	4	2
alb	4	3
albacore	4	4
albanian	4	4
albatross	4	3
albeit	4	4
albinism	4	2
albino	4	2
album	4	2
alchemic	6	5
alchemically	4	5
alchemist	5	6
alchemistic	4	6
alchemize	4	6
alchemy	4	4
alcohol	2	5
alcoholic	1	5
alcoholism	0	5
alcove	3	2
alderman	4	3
ale	4	3
alehouse	4	6
alert	3	6
alertly	7	7
alertness	3	6
alerts	2	6
alfalfa	4	2
alfresco	6	5
algae	4	1
algebra	3	2
algebraic	4	3
algebraically	4	2
algorithm	3	3
algorithmic	4	6
alias	4	2
alibi	3	4
alien	3	4
alienability	4	4
alienable	4	4
alienate	2	4
alienated	3	3
alienation	3	4
alienator	1	6
alienist	1	6
alight	5	5
align	5	3
aligned	4	2
aligner	6	6
alignment	5	3
alike	5	1
alikeness	5	2
alimentation	6	3
alimony	4	3
aliquot	3	2
alive	5	4
alkali	3	2
alkaline	5	2
alkalinity	4	0
alkalinize	6	6
alkalization	6	2
alkalize	6	3
alkaloid	4	5
alkaloids	3	4
all	4	4
allay	3	3
allegation	4	4
allege	3	3
allegeable	4	1
alleged	3	4
allegedly	2	3
allegiance	6	3
allegiant	7	2
allegoric	4	2
allegorical	4	4
allegorically	4	1
allegorist	6	3
allegoristic	4	3
allegorize	4	2
allegory	4	4
allegro	4	4
allergen	1	5
allergenic	1	4
allergic	1	4
allergies	1	4
allergist	4	6
allergy	2	4
alleviate	6	2
alleviation	5	1
alleviative	6	1
alleviator	6	1
alley	2	4
alleyway	2	3
alliance	5	3
allied	5	2
allies	6	5
alligator	2	5
alliterate	5	5
alliteration	5	5
alliterative	6	4
alliteratively	5	6
alliterativeness	5	4
allo	4	4
allocate	5	3
allocation	4	3
allocative	4	1
allocator	5	6
allot	4	3
allotment	4	3
allow	5	3
allowable	5	4
allowably	4	1
allowance	5	3
allowed	5	3
alloy	4	3
allsmiles	6	4
allspice	5	1
allstar	4	4
alltime	4	3
allude	4	5
allure	6	4
allurement	6	6
alluring	6	5
alluringness	6	6
allusion	3	2
allusive	5	5
allusively	4	5
allusiveness	6	1
alluvial	2	3
ally	6	2
almanac	5	1
almightily	7	5
almightiness	7	4
almighty	7	6
almond	5	1
almonds	6	1
almost	3	3
alms	6	2
almsgiver	6	2
aloft	5	3
aloha	5	3
alone	2	1
aloneness	2	0
along	4	3
alongside	3	2
aloof	1	3
aloofness	1	0
alopecia	1	1
aloud	3	5
alpaca	5	1
alpha	5	2
alphabet	4	1
alphabetic	4	4
alphabetical	4	2
alphabetically	4	1
alphabetization	5	1
alphabetize	4	5
alphabetizer	4	6
alphanumeric	4	4
alphanumerical	4	2
alpine	4	2
alps	7	2
already	4	2
alreadyyyyy	4	5
alright	4	3
alrighty	5	6
also	4	4
alt	4	4
altar	6	2
altarpiece	6	0
alter	2	5
alterability	4	4
alterable	6	5
alterably	4	4
alteration	1	6
altercate	1	6
altercation	1	6
altered	2	5
alternate	4	3
alternately	4	6
alternating	3	3
alternation	4	6
alternative	4	3
alternatively	4	4
alternativeness	5	4
alternator	4	6
although	3	3
altimeter	4	4
altitude	5	3
altitudinal	4	4
alto	5	3
altogether	6	2
altruism	7	4
altruist	7	4
altruistic	7	3
altruistically	7	2
alum	4	4
aluminum	3	2
alumna	5	1
alumnae	6	2
alumni	4	3
alumnus	4	3
alveolar	3	3
always	4	4
alzheimer	0	1
alzheimers	1	4
am	4	4
amalgam	3	2
amalgamate	5	6
amalgamated	6	6
amalgamation	3	3
amalgamative	6	5
amalgamator	4	6
amaretto	4	4
amass	4	3
amateur	3	4
amateurish	1	2
amateurishly	1	5
amateurishness	1	2
amateurism	3	2
amaze	6	6
amazed	6	5
amazedly	6	6
amazedness	6	6
amazement	5	6
amazing	6	6
amazingly	6	5
amazon	6	5
ambassador	5	4
ambassadorial	5	2
ambassadorship	6	1
amber	4	2
ambiance	6	0
ambidexterity	7	6
ambidexterous	6	4
ambidextrous	6	4
ambidextrously	6	6
ambidextrousness	6	4
ambience	5	2
ambient	4	3
ambiguity	1	3
ambiguous	2	3
ambiguously	2	2
ambiguousness	2	1
ambit	3	3
ambition	4	6
ambitionless	1	0
ambitious	3	6
ambitiously	6	6
ambitiousness	6	6
ambivalence	2	1
ambivalent	4	3
amble	5	2
ambler	4	6
ambrosia	4	3
ambrosial	7	3
ambulance	4	5
ambulant	5	6
ambulate	4	6
ambulation	5	7
ambulatory	6	6
ambush	2	6
ambusher	1	7
ameliorate	5	4
amen	5	1
amenability	6	2
amenable	3	3
amenably	6	2
amend	5	3
amendable	6	2
amendment	4	3
amends	4	3
amenity	5	2
americanize	4	6
amethyst	4	3
amiability	7	1
amiable	6	2
amiableness	7	2
amiably	7	0
amicability	6	2
amicable	6	2
amicableness	7	1
amicably	7	2
amid	4	2
amidst	3	2
amigo	7	4
amigos	6	2
amino	4	3
amiss	1	5
ammo	2	5
ammonia	2	4
ammonite	4	0
ammonium	2	3
ammunition	2	4
amnesia	2	2
amnesiac	1	1
amnesic	1	2
amnesty	4	3
amniotic	4	0
amoeba	3	4
amoebae	2	1
amoebic	1	4
amok	1	7
among	4	2
amongst	3	3
amoral	1	4
amorality	1	2
amorous	6	5
amorously	7	6
amorousness	7	6
amorphous	2	3
amorphously	2	1
amorphousness	2	0
amortization	4	3
amount	4	3
amour	6	3
amoxicillin	5	4
amp	3	3
amperage	4	5
ampersand	3	3
amphetamine	1	7
amphetamines	1	5
amphibian	3	2
amphibious	3	2
amphibiously	4	4
amphibiousness	4	4
amphitheater	5	3
ample	5	2
ampleness	6	4
amplification	5	5
amplifier	4	6
amplify	5	5
amplitude	5	3
amply	5	3
amputate	1	5
amputation	1	5
amputee	2	2
amuck	3	4
amulet	5	2
amusable	6	5
amuse	6	5
amused	7	6
amusedly	6	6
amusement	7	6
amuser	5	6
amusing	7	6
ana	4	2
anabolic	6	6
anabolism	6	6
anachronism	2	3
anachronistic	2	1
anachronistically	4	4
anachronous	1	3
anaconda	1	6
anaerobia	2	0
anaerobic	2	2
anaesthesia	2	2
anaesthetic	3	2
anaesthetize	2	0
anagram	4	2
anagrammatic	4	6
anagrammatically	4	6
anal	2	6
analgesia	6	0
analgesic	3	2
analog	4	4
analogical	5	1
analogically	4	2
analogism	4	4
analogist	4	6
analogize	5	6
analogous	4	2
analogously	4	4
analogue	4	2
analogy	4	3
analyses	6	1
analysis	5	3
analyst	4	3
analytic	5	4
analytical	4	2
analytically	6	5
analyzability	5	2
analyzable	6	4
analyze	5	3
analyzed	4	4
analyzer	4	4
anamorphic	4	4
anamorphous	3	4
anaphylactic	3	4
anaphylaxis	0	6
anarchic	1	6
anarchical	1	6
anarchically	1	6
anarchism	1	6
anarchist	1	5
anarchistic	1	6
anarchize	1	7
anarchy	1	5
anastomosis	3	3
anathema	2	3
anatomic	4	3
anatomical	4	2
anatomically	4	1
anatomist	4	4
anatomization	4	5
anatomize	4	6
anatomy	4	3
ancestor	4	3
ancestral	4	3
ancestrally	4	1
ancestress	4	1
ancestry	5	4
anchor	4	2
anchorage	4	2
anchorless	1	2
anchorman	5	6
anchorwoman	5	6
anchovies	3	4
anchovy	2	4
ancient	3	2
anciently	4	2
ancientness	5	1
ancillary	3	3
and	4	4
androgen	2	4
androgenic	4	6
androgynous	4	4
androgyny	4	4
android	5	3
anecdotal	4	4
anecdote	4	4
anecdotic	3	1
anecdotist	4	6
anemia	1	2
anemic	1	2
anemone	4	4
anesthesia	3	2
anesthesiologist	3	2
anesthesiology	5	5
anesthetic	2	2
anesthetically	3	0
anesthetist	4	1
anesthetization	2	1
anesthetize	2	0
aneurism	1	5
aneurysm	1	5
anew	5	3
angel	6	1
angelfish	6	2
angelic	6	2
angelical	7	0
angelically	7	2
anger	1	6
angered	0	5
angermanagement	2	4
angina	2	4
angiogram	2	4
angiograph	4	1
angiography	3	4
angioplasty	6	6
angle	4	3
angled	4	4
anglicism	4	4
anglicize	4	5
angling	4	3
anglomaniac	2	5
anglophile	6	4
angora	4	3
angriest	1	6
angrily	0	7
angriness	0	7
angry	1	6
angrytweet	2	5
angst	1	6
anguish	1	6
anguished	1	5
angular	3	2
angularity	3	4
angularly	4	1
angulated	2	5
angulation	4	6
anhydrous	3	3
animal	4	4
animalism	4	2
animalist	4	5
animalistic	2	6
animalization	1	6
animalize	2	6
animate	6	5
animated	6	5
animatedly	6	7
animation	6	5
animator	6	6
animism	4	4
animosity	4	5
animus	5	5
ankle	4	2
anklebone	4	4
anklet	3	2
annals	3	4
annex	4	2
annexable	4	2
annexation	2	4
annexe	4	2
annihilate	1	6
annihilated	1	5
annihilation	0	6
annihilationist	1	6
annihilative	0	7
annihilator	0	7
anniversary	6	5
annotate	4	3
annotation	4	3
annotative	4	6
annotator	4	6
